InternetName,FullName,Code,League
Arizona Diamondbacks,Arizona Diamondbacks,AZ,NL
Atlanta Braves,Atlanta Braves,ATL,NL
Baltimore Orioles,Baltimore Orioles,BAL,AL
Boston Red Sox,Boston Red Sox,BOS,AL
Chicago Cubs,Chicago Cubs,CHC,NL
Chicago White Sox,Chicago White Sox,CWS,AL
Cincinnati Reds,Cincinnati Reds,CIN,NL
Cleveland Indians,Cleveland Indians,CLE,AL
Colorado Rockies,Colorado Rockies,COL,NL
Detroit Tigers,Detroit Tigers,DET,AL
Houston Astros,Houston Astros,HOU,AL
Kansas City Royals,Kansas City Royals,KC,AL
Los Angeles Angels,Los Angeles Angels,LAA,AL
Los Angeles Dodgers,Los Angeles Dodgers,LAD,NL
Miami Marlins,Miami Marlins,MIA,NL
Milwaukee Brewers,Milwaukee Brewers,MIL,NL
Minnesota Twins,Minnesota Twins,MIN,AL
New York Mets,New York Mets,NYM,NL
New York Yankees,New York Yankees,NYY,AL
Oakland Athletics,Oakland Athletics,OAK,AL
Philadelphia Phillies,Philadelphia Phillies,PHI,NL
Pittsburgh Pirates,Pittsburgh Pirates,PIT,NL
San Diego Padres,San Diego Padres,SD,NL
San Francisco Giants,San Francisco Giants,SF,NL
Seattle Mariners,Seattle Mariners,SEA,AL
St. Louis Cardinals,St. Louis Cardinals,STL,NL
Tampa Bay Rays,Tampa Bay Rays,TB,AL
Texas Rangers,Texas Rangers,TEX,AL
Toronto Blue Jays,Toronto Blue Jays,TOR,AL
Washington Nationals,Washington Nationals,WAS,NL
